data,denominazione_regione,nuovi_positivi,totale_positivi,tamponi_settimanali,tamponi_positivi_settimanali,tamponi_test_antigenico_rapido,totale_positivi_test_antigenico_rapido
2024-08-07,Emilia-Romagna,1156,4670,4656.0,1086.0,9355308.0,1114664.0
2024-08-07,Friuli-Venezia Giulia,222,501,945.0,163.0,4005792.0,357006.0
2024-08-07,Lazio,2332,71920,10159.0,2124.0,18014860.0,1500701.0
2024-08-07,Liguria,421,86,12024.0,1375.0,4477765.0,405002.0
2024-08-07,Lombardia,2780,3630,18781.0,2565.0,30262815.0,2800189.0
2024-08-07,Marche,7,49,144.0,7.0,1787727.0,513723.0
2024-08-07,Molise,51,108,257.0,29.0,301583.0,74503.0
2024-08-07,Piemonte,835,55054,9199.0,814.0,17600704.0,1288788.0
2024-08-07,Puglia,1821,3880,7038.0,1807.0,9864515.0,1179136.0
2024-08-07,Sardegna,367,11128,1615.0,367.0,3362799.0,347830.0
2024-08-07,Sicilia,163,1397,171.0,125.0,11469220.0,1292261.0
2024-08-07,Toscana,998,1860,5496.0,664.0,10298227.0,924463.0
2024-08-07,Trentino-Alto Adige,155,153,518.0,106.0,2219680.0,208139.0
2024-08-07,Umbria,343,1070,1331.0,304.0,3426953.0,299406.0
2024-08-07,Valle d'Aosta,14,11,159.0,14.0,463720.0,36066.0
2024-08-07,Veneto,1553,10937,6965.0,553.0,27291586.0,1693519.0
2024-07-31,Abruzzo,325,1404,1902.0,214.0,5070858.0,425565.0
2024-07-31,Basilicata,22,9933,385.0,22.0,677700.0,131331.0
2024-07-31,Calabria,411,1995,1383.0,404.0,2601059.0,451921.0
2024-07-31,Campania,3071,9468,15500.0,2990.0,12384364.0,1597855.0
2024-07-31,Emilia-Romagna,1086,3519,4375.0,1023.0,9350652.0,1113578.0
2024-07-31,Friuli-Venezia Giulia,209,476,965.0,153.0,4004847.0,356843.0
2024-07-31,Lazio,2450,69714,13895.0,2642.0,18004701.0,1498577.0
2024-07-31,Liguria,461,85,2566.0,475.0,4465741.0,403627.0
2024-07-31,Lombardia,2957,3615,15051.0,2777.0,30244034.0,2797624.0
2024-07-31,Marche,11,32,177.0,11.0,1787583.0,513716.0
2024-07-31,Molise,12,55,82.0,3.0,301326.0,74474.0
2024-07-31,Piemonte,1157,54680,12164.0,1124.0,17591505.0,1287974.0
2024-07-31,Puglia,1562,2750,6825.0,1526.0,9857477.0,1177329.0
2024-07-31,Sardegna,365,10773,1853.0,365.0,3361184.0,347463.0
2024-07-31,Sicilia,103,1270,56.0,57.0,11469049.0,1292136.0
2024-07-31,Toscana,992,1537,6241.0,672.0,10292731.0,923799.0
2024-07-31,Trentino-Alto Adige,128,154,454.0,85.0,2219162.0,208033.0
2024-07-31,Umbria,252,943,1239.0,221.0,3425622.0,299102.0
2024-07-31,Valle d'Aosta,28,13,185.0,28.0,463561.0,36052.0
2024-07-31,Veneto,1406,10772,6862.0,526.0,27284621.0,1692966.0
2024-07-24,Abruzzo,257,1240,1451.0,189.0,5068956.0,425351.0
2024-07-24,Basilicata,17,9912,364.0,17.0,677315.0,131309.0
2024-07-24,Calabria,234,1922,1118.0,230.0,2599676.0,451517.0
2024-07-24,Campania,2492,8248,14482.0,2439.0,12368864.0,1594865.0
2024-07-24,Emilia-Romagna,785,2437,3776.0,723.0,9346277.0,1112555.0
2024-07-24,Friuli-Venezia Giulia,217,450,918.0,158.0,4003882.0,356690.0
2024-07-24,Lazio,2178,67396,16493.0,1801.0,17990806.0,1495935.0
2024-07-24,Liguria,405,87,2546.0,409.0,4463175.0,403152.0
2024-07-24,Lombardia,2453,2868,13465.0,2300.0,30228983.0,2794847.0
2024-07-24,Marche,32,32,231.0,32.0,1787406.0,513705.0
2024-07-24,Molise,21,43,192.0,7.0,301244.0,74471.0
2024-07-24,Piemonte,533,54101,10374.0,513.0,17579341.0,1286850.0
2024-07-24,Puglia,1101,1784,5721.0,1075.0,9850652.0,1175803.0
2024-07-24,Sardegna,458,10408,1835.0,458.0,3359331.0,347098.0
2024-07-24,Sicilia,134,1252,88.0,86.0,11468993.0,1292079.0
2024-07-24,Toscana,849,1235,6140.0,558.0,10286490.0,923127.0
2024-07-24,Trentino-Alto Adige,139,141,453.0,98.0,2218708.0,207948.0
2024-07-24,Umbria,201,813,1208.0,180.0,3424383.0,298881.0
2024-07-24,Valle d'Aosta,14,10,175.0,14.0,463376.0,36024.0
2024-07-24,Veneto,1152,10596,7286.0,365.0,27277759.0,1692440.0
2024-07-17,Abruzzo,153,1067,1031.0,107.0,5067505.0,425162.0
